Latitude,Longitude,Route Number,Type,Crash Severity,Incident Date,Road Name,Score
38.09698,-78.457083,29,Arrest,,2/1/2013,3900 MONACAN TR,0.012304447
37.929068,-78.634785,692,Arrest,,6/4/2016,3900 PLANK RD,0.022813036
38.055378,-78.582384,250,Arrest,,11/10/2012,3900 IVY RD,0.016825849
38.09698,-78.457083,29,Arrest,,8/10/2013,3900 MONACAN TR,0.012304447
38.150271,-78.477421,743,Arrest,,7/27/2012,4000 EARLYSVILLE RD,0.014030319
38.047,-78.470037,631,Arrest,,4/21/2012,400 E RIO RD,0.022779613
38.047,-78.470037,631,Arrest,,4/7/2013,400 E RIO RD,0.022779613
38.085847,-78.485774,631,Arrest,,5/9/2010,400 W RIO RD,0.022779613
38.026615,-78.504162,20,Arrest,,6/22/2014,400 VALLEY ST,0.030377569
38.05556,-78.589413,250,Arrest,,8/3/2012,4100 IVY RD,0.016825849
37.922405,-78.548226,20,Arrest,,4/30/2011,4100 SCOTTSVILLE RD,0.030377569
37.938138,-78.670339,29,Arrest,,3/13/2012,4100 MONACAN TR RD,0.012304447
38.05556,-78.589413,250,Arrest,,12/20/2014,4100 IVY RD,0.016825849
38.055655,-78.594039,250,Arrest,,8/14/2010,4200 IVY RD,0.016825849
38.059452,-78.654248,250,Arrest,,4/19/2016,4200 ROCKFISH GAP TNPK,0.016825849
38.154691,-78.420385,29,Arrest,,5/16/2015,4200 SEMINOLE TR @ CAMELOT DR,0.012304447
38.059452,-78.654248,250,Arrest,,8/11/2012,4200 ROCKFISH GAP TNPK,0.016825849
37.91892,-78.549496,20,Arrest,,10/28/2012,4200 SCOTTSVILLE RD,0.030377569
38.055655,-78.594039,250,Arrest,,9/25/2014,4200 IVY RD,0.016825849
37.995065,-78.349894,250,Arrest,,6/29/2014,4300 RICHMOND RD,0.016825849
38.15936,-78.417731,29,Arrest,,7/17/2014,4400 SEMINOLE TR,0.012304447
37.97965,-78.24594,250,Arrest,,7/13/2016,4400 RICHMOND RD,0.016825849
38.1189,-78.649521,601,Arrest,,7/10/2011,4400 GARTH RD,0.017077528
37.923887,-78.67923,29,Arrest,,6/22/2013,4500 MONACAN TR RD,0.012304447
37.923887,-78.67923,29,Arrest,,6/21/2015,4500 MONACAN TR RD,0.012304447
38.09698,-78.457083,29,Arrest,,4/20/2015,4600 MONICAN TR,0.012304447
