Route.Number,Seg.Number,Latitude,Longitude,Incident.Date,Time,Day,Road.Name,Crash.Severity,Direction,Light.Condition,Roadway.Type,Surface.Type,Type,Density.Score,DD.Check.Score,Seg.Density.Score,Seg.DD.Check.Score,Den.Top20Rt,Den.Top50Seg,DD.Top20Rt,DD.Top50Seg
1533,2258,37.999283,-78.520072,6/9/2014,12:00:00 AM,Mon,1200 HICKORY ST,,,,,,Arrest,0.1625,0.094977169,0,0.094977169,Yes,No,No,Yes
1113,1687,38.003817,-78.513833,9/21/2011,12:00:00 AM,Sat,1200 OAK HILL DR,,,,,,Arrest,0.002207792,0.014611872,0,0.014611872,No,No,No,No
635,712,38.011212,-78.701951,5/7/2015,12:00:00 AM,Sat,1200 MILLER SCHOOL RD,,,,,,Arrest,0.010202807,0.080365297,0.000833333,0.007305936,No,No,No,No
29,118,38.069366,-78.485212,11/2/2013,12:00:00 AM,Mon,1200 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
631,654,38.009132,-78.506396,5/2/2012,12:00:00 AM,Mon,1200 5TH ST EXT,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
53,220,37.992932,-78.445896,7/19/2014,12:00:00 AM,Thu,1300 THOMAS JEFFERSON PKWY,,,,,,Arrest,0.008475812,0.4456621,0.000224719,0.014611872,No,No,Yes,No
1453,2119,38.075236,-78.485114,4/26/2015,12:00:00 AM,Thu,1300 MINOR RIDGE CT,,,,,,Arrest,0.013333333,0.029223744,0,0.029223744,No,No,No,No
20,32,38.035221,-78.454329,1/2/2011,12:00:00 AM,Mon,1300 STONY PT RD,,,,,,Arrest,0.030377569,1.56347032,0.001774194,0.080365297,Yes,Yes,Yes,Yes
6,5,37.813014,-78.548762,2/26/2012,12:00:00 AM,Thu,1300 IRISH RD,,,,,,Arrest,0.022074779,0.226484018,0.001,0.007305936,Yes,No,Yes,No
631,654,37.978784,-78.545244,5/18/2014,12:00:00 AM,Wed,1300 OLD LYNCHBURG RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
631,654,38.006441,-78.511041,11/26/2014,12:00:00 AM,Thu,1300 5TH ST,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
706,1119,37.980152,-78.545115,5/6/2012,12:00:00 AM,Fri,1300 DUDLEY MOUNTAIN RD,,,,,,Arrest,0.033333333,0.065753425,0.014814815,0.029223744,No,No,No,No
20,32,38.035221,-78.454329,10/6/2011,12:00:00 AM,Fri,1300 STONY POINT RD,,,,,,Arrest,0.030377569,1.56347032,0.001774194,0.080365297,Yes,Yes,Yes,Yes
631,654,38.071872,-78.468218,4/14/2013,12:00:00 AM,Sat,1300 E RIO RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
631,654,37.978784,-78.545244,5/13/2014,12:00:00 AM,Fri,1300 OLD LYNCHBURG RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
20,32,38.036358,-78.452968,8/12/2012,12:00:00 AM,Thu,1400 STONY POINT RD,,,,,,Arrest,0.030377569,1.56347032,0.001774194,0.080365297,Yes,Yes,Yes,Yes
659,862,38.086928,-78.479488,3/17/2010,11:50:00 PM,Tue,1400 WOODBURN RD,,,,,,Arrest,0.002173913,0.014611872,0.001086957,0.007305936,No,No,No,No
